name,season,GP,TOI,G,A,P,SH,SH%,FOW,FOL,PPTOI,PPG,PPA,PPP,PPSH,positions,avg_round,avg_pick,pct_drafted
Alex Chiasson,20152016,77,1046.4,8,6,14,88,9.09,3,2,89.89,2.0,0.0,2.0,10.0,R,23.4,182.0,0
Alex Edler,20132014,63,1458.56,7,15,22,178,3.93,2,1,181.65,4.0,8.0,12.0,39.0,D,23.4,182.0,0
Alex Edler,20142015,74,1762.97,8,23,31,175,4.57,0,1,218.53,5.0,9.0,14.0,42.0,D,23.4,182.0,0
Alex Edler,20152016,52,1259.55,6,14,20,111,5.41,0,0,158.64999999999998,2.0,3.0,5.0,27.0,D,23.4,182.0,0
Alex Galchenyuk,20132014,65,933.29,13,18,31,110,11.82,5,10,139.13000000000002,3.0,7.0,10.0,23.0,C,13.4,133.3,100%
Alex Galchenyuk,20142015,80,1310.93,20,26,46,163,12.27,82,92,184.69,3.0,7.0,10.0,31.0,C,13.4,133.3,100%
Alex Galchenyuk,20152016,82,1331.42,30,26,56,201,14.93,359,390,214.73999999999998,8.0,7.0,15.0,40.0,C,13.4,133.3,100%
Alex Goligoski,20132014,81,1968.27,6,36,42,141,4.26,0,1,275.3,3.0,11.0,14.0,45.0,D,14.9,167.5,34%
Alex Goligoski,20142015,81,1922.21,4,32,36,122,3.28,0,0,179.42000000000002,0.0,8.0,8.0,14.0,D,14.9,167.5,34%
Alex Goligoski,20152016,82,1946.64,5,32,37,127,3.94,0,0,169.29,1.0,3.0,4.0,15.0,D,14.9,167.5,34%
Alex Grant,20152016,5,65.05,0,0,0,4,0.0,0,0,3.66,0.0,0.0,0.0,1.0,D,23.4,182.0,0
Alex Grenier,20152016,6,68.78,0,0,0,9,0.0,1,1,0.33,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Alex Killorn,20132014,82,1373.0,18,24,42,175,10.29,74,98,168.04,2.0,5.0,7.0,23.0,C,16.2,162.1,3%
Alex Killorn,20142015,71,1199.56,15,23,38,130,11.54,35,45,149.78,1.0,2.0,3.0,14.0,C,16.2,162.1,3%
Alex Killorn,20152016,81,1357.91,14,26,40,154,9.09,31,49,196.69,3.0,3.0,6.0,36.0,C,16.2,162.1,3%
Alex Ovechkin,20132014,78,1583.39,51,28,79,386,13.21,2,1,369.12,23.0,15.0,38.0,133.0,L,1.2,2.2,100%
Alex Ovechkin,20142015,81,1640.98,53,28,81,395,13.42,2,3,299.02,25.0,8.0,33.0,133.0,L,1.2,2.2,100%
Alex Ovechkin,20152016,79,1592.42,50,21,71,398,12.56,0,0,327.13000000000005,18.0,5.0,23.0,135.0,L,1.2,2.2,100%
Alex Petrovic,20132014,7,85.64,0,1,1,4,0.0,0,0,0.07,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Alex Petrovic,20142015,33,533.56,0,3,3,29,0.0,0,0,9.05,0.0,0.0,0.0,1.0,D,23.4,182.0,0
Alex Petrovic,20152016,66,1113.87,2,15,17,53,3.77,0,0,16.5,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Alex Pietrangelo,20132014,81,2044.4,8,43,51,164,4.88,0,0,231.67000000000002,2.0,14.0,16.0,34.0,D,12.0,115.2,100%
Alex Pietrangelo,20142015,81,2051.14,7,39,46,195,3.59,0,0,208.69,1.0,10.0,11.0,41.0,D,12.0,115.2,100%
Alex Pietrangelo,20152016,73,1912.37,7,30,37,182,3.85,0,0,180.02,1.0,4.0,5.0,24.0,D,12.0,115.2,100%
Alex Semin,20132014,65,1285.29,22,20,42,210,10.48,1,9,221.36,6.0,6.0,12.0,48.0,L,23.4,182.0,0
Alex Semin,20142015,57,905.79,6,13,19,93,6.45,3,6,89.83999999999999,0.0,4.0,4.0,10.0,L,23.4,182.0,0
Alex Semin,20152016,15,183.28,1,3,4,18,5.56,1,0,31.43,0.0,0.0,0.0,1.0,L,23.4,182.0,0
Alex Steen,20132014,68,1373.06,33,29,62,211,15.64,265,276,228.65,7.0,10.0,17.0,57.0,C,23.4,182.0,0
Alex Steen,20142015,74,1476.04,24,40,64,223,10.76,218,215,242.96,7.0,16.0,23.0,57.0,C,23.4,182.0,0
Alex Steen,20152016,67,1359.74,17,35,52,172,9.88,159,198,197.39000000000001,2.0,18.0,20.0,33.0,C,23.4,182.0,0
Alex Sulzer,20132014,25,452.33,0,2,2,21,0.0,0,0,18.9,0.0,1.0,1.0,2.0,D,23.4,182.0,0
Alex Tanguay,20132014,16,274.0,4,7,11,24,16.67,1,2,43.4,0.0,2.0,2.0,3.0,L,23.4,182.0,0
Alex Tanguay,20142015,80,1448.28,22,33,55,104,21.15,12,16,191.45999999999998,2.0,12.0,14.0,22.0,L,23.4,182.0,0
Alex Tanguay,20152016,70,1101.86,8,27,35,71,11.27,3,2,161.14000000000001,1.0,8.0,9.0,16.0,L,23.4,182.0,0
Alex Urbom,20132014,20,292.07,1,1,2,16,6.25,0,0,1.17,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Alex Wennberg,20142015,68,1059.3,4,16,20,85,4.71,288,386,102.69999999999999,1.0,3.0,4.0,6.0,C,23.4,182.0,0
Alex Wennberg,20152016,69,1090.1,8,32,40,97,8.25,400,522,140.91,1.0,11.0,12.0,26.0,C,23.4,182.0,0
Alexei Emelin,20132014,59,1132.88,3,14,17,58,5.17,0,0,48.75,1.0,2.0,3.0,5.0,D,23.4,182.0,0
Alexei Emelin,20142015,68,1345.36,3,11,14,43,6.98,0,0,17.27,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Alexei Emelin,20152016,72,1473.06,0,12,12,71,0.0,0,0,29.61,0.0,0.0,0.0,2.0,D,23.4,182.0,0
Alexey Marchenko,20142015,13,200.65,1,1,2,7,14.29,0,0,2.15,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Alexey Marchenko,20152016,66,1109.83,2,9,11,40,5.0,0,0,6.03,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Anders Lee,20132014,22,342.14,9,5,14,68,13.24,1,5,57.68,2.0,0.0,2.0,14.0,C,23.4,182.0,0
Anders Lee,20142015,76,1089.49,25,16,41,197,12.69,1,0,166.55,5.0,1.0,6.0,32.0,C,23.4,182.0,0
Anders Lee,20152016,80,1159.17,15,21,36,183,8.2,1,5,193.07000000000002,7.0,5.0,12.0,41.0,C,23.4,182.0,0
Andre Benoit,20132014,79,1592.25,7,21,28,113,6.19,0,0,199.25,1.0,6.0,7.0,33.0,D,23.4,182.0,0
Andre Benoit,20142015,59,1066.21,1,8,9,45,2.22,0,0,79.15,0.0,1.0,1.0,6.0,D,23.4,182.0,0
Andre Burakovsky,20142015,53,683.65,9,13,22,65,13.85,74,93,67.54,2.0,1.0,3.0,5.0,L,19.8,176.7,39%
Andre Burakovsky,20152016,79,1026.61,17,21,38,126,13.49,17,20,72.54,0.0,5.0,5.0,9.0,L,19.8,176.7,39%
Andreas Athanasiou,20152016,37,333.65,9,5,14,53,16.98,53,76,2.95,0.0,0.0,0.0,0.0,C,23.4,182.0,0
