name,season,GP,TOI,G,A,P,SH,SH%,FOW,FOL,PPTOI,PPG,PPA,PPP,PPSH,positions,avg_round,avg_pick,pct_drafted
Corban Knight,20152016,20,192.64,2,5,7,11,18.18,54,52,4.97,0.0,0.0,0.0,0.0,C,23.4,182.0,0
Corey Perry,20132014,81,1569.62,43,39,82,280,15.36,9,16,274.91999999999996,7.0,10.0,17.0,63.0,R,2.3,18.8,100%
Corey Perry,20142015,67,1209.09,33,22,55,193,17.1,3,9,184.09,4.0,3.0,7.0,38.0,R,2.3,18.8,100%
Corey Perry,20152016,82,1446.55,34,28,62,215,15.81,2,8,234.83,11.0,12.0,23.0,43.0,R,2.3,18.8,100%
Corey Potter,20132014,19,260.82,0,5,5,17,0.0,0,0,16.01,0.0,2.0,2.0,0.0,D,23.4,182.0,0
Corey Tropp,20132014,53,474.67,2,9,11,35,5.71,0,1,9.86,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Corey Tropp,20142015,61,533.88,1,7,8,22,4.55,1,1,5.35,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Cory Conacher,20132014,79,1019.62,7,19,26,101,6.93,9,5,122.97,1.0,0.0,1.0,9.0,C,23.4,182.0,0
Cory Conacher,20142015,15,201.9,1,2,3,23,4.35,1,2,13.87,0.0,0.0,0.0,1.0,C,23.4,182.0,0
Cory Emmerton,20132014,18,161.13,0,2,2,22,0.0,58,49,0.65,0.0,0.0,0.0,0.0,C,23.4,182.0,0
Cory Sarich,20132014,54,921.98,1,9,10,48,2.08,0,1,4.43,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Craig Adams,20132014,82,1015.45,5,6,11,73,6.85,61,78,6.69,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Craig Adams,20142015,70,681.76,1,6,7,51,1.96,17,23,7.01,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Craig Cunningham,20142015,51,533.21,3,4,7,54,5.56,69,67,8.93,0.0,0.0,0.0,0.0,L,23.4,182.0,0
Craig Cunningham,20152016,10,100.87,0,1,1,13,0.0,2,1,1.57,0.0,0.0,0.0,0.0,L,23.4,182.0,0
Craig Smith,20132014,79,1295.56,24,28,52,215,11.16,3,16,172.76999999999998,7.0,3.0,10.0,31.0,C,23.4,182.0,0
Craig Smith,20142015,82,1289.89,23,21,44,251,9.16,12,18,212.8,6.0,3.0,9.0,44.0,C,23.4,182.0,0
Craig Smith,20152016,82,1244.67,21,16,37,199,10.55,76,154,185.75,2.0,3.0,5.0,24.0,C,23.4,182.0,0
Curtis Glencross,20132014,38,667.08,12,12,24,77,15.58,14,27,90.95,3.0,5.0,8.0,11.0,L,23.4,182.0,0
Curtis Glencross,20142015,71,1109.9,13,22,35,108,12.04,8,10,145.4,4.0,6.0,10.0,16.0,L,23.4,182.0,0
Curtis Lazar,20142015,67,863.41,6,9,15,92,6.52,129,144,21.35,0.0,0.0,0.0,1.0,C,23.4,182.0,0
Curtis Lazar,20152016,76,1052.31,6,14,20,78,7.69,168,216,76.71,1.0,1.0,2.0,2.0,C,23.4,182.0,0
Curtis Mckenzie,20142015,36,415.4,4,1,5,41,9.76,3,5,4.61,0.0,0.0,0.0,0.0,L,23.4,182.0,0
Dainius Zubrus,20132014,82,1436.39,13,13,26,121,10.74,216,208,43.78,0.0,0.0,0.0,1.0,C,23.4,182.0,0
Dainius Zubrus,20142015,74,1084.23,4,6,10,72,5.56,37,49,33.69,0.0,1.0,1.0,0.0,C,23.4,182.0,0
Dainius Zubrus,20152016,50,579.17,3,4,7,33,9.09,15,12,10.05,0.0,0.0,0.0,0.0,C,23.4,182.0,0
Dale Weise,20132014,61,512.37,6,10,16,41,14.63,0,4,7.76,1.0,0.0,1.0,2.0,R,23.4,182.0,0
Dale Weise,20142015,79,961.95,10,19,29,91,10.99,5,7,15.35,0.0,0.0,0.0,1.0,R,23.4,182.0,0
Dale Weise,20152016,71,951.76,14,13,27,136,10.29,16,19,108.65,3.0,3.0,6.0,13.0,R,23.4,182.0,0
Dalton Prout,20132014,49,839.98,2,4,6,56,3.57,0,1,10.22,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Dalton Prout,20142015,63,1157.77,0,8,8,64,0.0,0,0,11.27,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Dalton Prout,20152016,64,1033.45,3,6,9,69,4.35,0,1,12.91,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Damien Brunner,20132014,60,809.19,11,14,25,110,10.0,1,7,127.21000000000001,4.0,6.0,10.0,17.0,C,23.4,182.0,0
Damien Brunner,20142015,17,258.06,2,5,7,29,6.9,2,2,49.400000000000006,0.0,4.0,4.0,7.0,C,23.4,182.0,0
Damon Severson,20142015,51,1115.44,5,12,17,93,5.38,0,1,109.69000000000001,0.0,7.0,7.0,19.0,D,23.4,182.0,0
Damon Severson,20152016,72,1304.28,1,20,21,94,1.06,0,0,131.46,0.0,5.0,5.0,18.0,D,23.4,182.0,0
Dan Boyle,20132014,75,1589.8,12,24,36,154,7.79,0,0,267.15,5.0,12.0,17.0,51.0,D,23.4,182.0,0
Dan Boyle,20142015,65,1313.18,9,11,20,116,7.76,0,0,174.71,3.0,5.0,8.0,42.0,D,23.4,182.0,0
Dan Boyle,20152016,74,1391.36,10,14,24,95,10.53,0,0,160.66000000000003,3.0,3.0,6.0,29.0,D,23.4,182.0,0
Dan Carcillo,20132014,57,528.56,4,1,5,44,9.09,1,0,10.59,0.0,0.0,0.0,0.0,L,23.4,182.0,0
Dan Carcillo,20142015,39,319.37,4,4,8,42,9.52,0,1,5.39,0.0,0.0,0.0,0.0,L,23.4,182.0,0
Dan Cleary,20132014,52,721.74,4,4,8,64,6.25,12,10,83.05,0.0,0.0,0.0,7.0,R,23.4,182.0,0
Dan Cleary,20142015,17,155.27,1,1,2,17,5.88,2,2,2.78,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Dan Girardi,20132014,81,1866.86,5,19,24,100,5.0,0,0,133.74,1.0,2.0,3.0,18.0,D,15.4,168.9,2%
Dan Girardi,20142015,82,1855.05,4,16,20,111,3.6,0,0,135.38,1.0,1.0,2.0,26.0,D,15.4,168.9,2%
Dan Girardi,20152016,74,1499.46,2,15,17,77,2.6,0,0,19.7,0.0,0.0,0.0,1.0,D,15.4,168.9,2%
Dan Hamhuis,20132014,79,1887.92,5,17,22,150,3.33,0,0,162.14000000000001,0.0,3.0,3.0,16.0,D,14.8,161.1,2%
Dan Hamhuis,20142015,59,1267.37,1,22,23,82,1.22,0,0,112.34,1.0,2.0,3.0,10.0,D,14.8,161.1,2%
Dan Hamhuis,20152016,58,1236.99,3,10,13,72,4.17,0,0,91.95,1.0,1.0,2.0,10.0,D,14.8,161.1,2%
Dana Tyrell,20132014,7,64.64,0,0,0,4,0.0,2,4,0.16,0.0,0.0,0.0,0.0,C,23.4,182.0,0
Daniel Alfredsson,20132014,68,1149.47,18,31,49,151,11.92,5,9,212.60999999999999,3.0,14.0,17.0,46.0,R,23.4,182.0,0
Daniel Briere,20132014,69,880.85,13,12,25,118,11.02,171,179,124.00999999999999,3.0,2.0,5.0,15.0,C,23.4,182.0,0
Daniel Briere,20142015,57,690.4,8,4,12,69,11.59,13,11,76.36,0.0,0.0,0.0,6.0,C,23.4,182.0,0
Daniel Carr,20152016,23,276.09,6,3,9,39,15.38,0,0,21.55,1.0,0.0,1.0,3.0,L,23.4,182.0,0
Daniel Catenacci,20152016,11,96.13,0,0,0,7,0.0,2,0,0.18,0.0,0.0,0.0,0.0,C,23.4,182.0,0
Daniel Paille,20132014,72,789.24,9,9,18,71,12.68,11,6,12.45,0.0,0.0,0.0,0.0,L,23.4,182.0,0
Daniel Paille,20142015,71,816.65,6,7,13,66,9.09,2,5,16.37,0.0,0.0,0.0,0.0,L,23.4,182.0,0
Daniel Paille,20152016,12,136.86,0,0,0,11,0.0,0,1,1.38,0.0,0.0,0.0,0.0,L,23.4,182.0,0
Daniel Sedin,20132014,73,1492.42,16,31,47,224,7.14,8,19,250.67999999999998,4.0,12.0,16.0,49.0,L,7.4,70.3,100%
Daniel Sedin,20142015,82,1496.6,20,56,76,226,8.85,2,3,236.09,3.0,19.0,22.0,40.0,L,7.4,70.3,100%
Daniel Sedin,20152016,82,1490.95,28,33,61,258,10.85,5,14,257.91,7.0,10.0,17.0,55.0,L,7.4,70.3,100%
Daniel Sprong,20152016,18,157.05,2,0,2,23,8.7,1,1,9.27,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Daniel Winnik,20132014,76,1166.89,6,24,30,115,5.22,85,111,21.33,0.0,0.0,0.0,1.0,C,23.4,182.0,0
Daniel Winnik,20142015,79,1307.98,9,25,34,97,9.28,107,121,14.71,0.0,0.0,0.0,0.0,C,23.4,182.0,0
Daniel Winnik,20152016,76,1040.97,6,13,19,101,5.94,8,12,37.27,0.0,0.0,0.0,1.0,C,23.4,182.0,0
Danny Biega,20142015,10,161.45,0,2,2,7,0.0,0,0,1.17,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Danny Dekeyser,20132014,65,1403.38,4,19,23,84,4.76,0,0,108.66000000000001,1.0,3.0,4.0,14.0,D,23.4,182.0,0
Danny Dekeyser,20142015,80,1669.86,2,29,31,89,2.25,0,0,121.32,0.0,6.0,6.0,10.0,D,23.4,182.0,0
Danny Dekeyser,20152016,78,1697.7,8,12,20,72,11.11,0,0,65.29,0.0,0.0,0.0,3.0,D,23.4,182.0,0
Dany Heatley,20132014,76,1125.81,12,16,28,110,10.91,7,10,204.20000000000002,3.0,6.0,9.0,34.0,L,23.4,182.0,0
Dany Heatley,20142015,6,72.28,0,0,0,8,0.0,0,0,5.36,0.0,0.0,0.0,1.0,L,23.4,182.0,0
Darnell Nurse,20152016,69,1390.83,3,7,10,120,2.5,0,0,26.91,0.0,1.0,1.0,0.0,D,23.4,182.0,0
Darren Archibald,20132014,16,124.13,1,2,3,11,9.09,0,1,1.8,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Darren Dietz,20152016,13,188.88,1,4,5,13,7.69,0,0,2.07,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Darren Helm,20132014,42,636.98,12,8,20,83,14.46,269,279,37.15,1.0,0.0,1.0,2.0,C,23.4,182.0,0
Darren Helm,20142015,75,1186.01,15,18,33,160,9.38,223,198,114.83999999999999,3.0,4.0,7.0,15.0,C,23.4,182.0,0
Darren Helm,20152016,77,1158.29,13,13,26,165,7.88,39,38,64.0,0.0,0.0,0.0,7.0,C,23.4,182.0,0
Dave Bolland,20132014,23,332.07,8,4,12,34,23.53,152,185,13.29,1.0,1.0,2.0,3.0,C,23.4,182.0,0
Dave Bolland,20142015,53,865.28,6,17,23,76,7.89,414,517,74.33,0.0,5.0,5.0,5.0,C,23.4,182.0,0
Dave Bolland,20152016,25,351.69,1,4,5,26,3.85,156,185,20.29,0.0,2.0,2.0,4.0,C,23.4,182.0,0
Dave Dziurzynski,20152016,14,141.16,1,3,4,14,7.14,3,4,0.02,0.0,0.0,0.0,0.0,L,23.4,182.0,0
David Backes,20132014,74,1446.12,27,30,57,166,16.27,621,580,200.4,10.0,6.0,16.0,28.0,R,14.1,153.2,56%
David Backes,20142015,80,1488.03,26,32,58,183,14.21,617,513,196.82,10.0,6.0,16.0,36.0,R,14.1,153.2,56%
David Backes,20152016,79,1517.66,21,24,45,168,12.5,620,572,194.84,8.0,5.0,13.0,24.0,R,14.1,153.2,56%
David Booth,20132014,66,888.64,9,10,19,117,7.69,13,10,47.69,0.0,1.0,1.0,4.0,L,23.4,182.0,0
David Booth,20142015,59,704.27,7,6,13,107,6.54,6,7,10.98,0.0,0.0,0.0,2.0,L,23.4,182.0,0
David Clarkson,20132014,60,906.64,5,6,11,102,4.9,8,13,71.9,1.0,1.0,2.0,5.0,R,23.4,182.0,0
David Clarkson,20142015,61,841.59,10,5,15,95,10.53,25,48,128.11,1.0,0.0,1.0,18.0,R,23.4,182.0,0
David Clarkson,20152016,23,211.37,2,2,4,24,8.33,2,10,9.28,0.0,0.0,0.0,2.0,R,23.4,182.0,0
David Desharnais,20132014,79,1358.01,16,36,52,96,16.67,611,591,212.58,1.0,12.0,13.0,12.0,C,23.4,182.0,0
David Desharnais,20142015,82,1413.34,14,34,48,90,15.56,629,560,196.08,2.0,8.0,10.0,9.0,C,23.4,182.0,0
David Desharnais,20152016,65,1039.68,11,18,29,90,12.22,391,412,153.78,3.0,2.0,5.0,11.0,C,23.4,182.0,0
David Jones,20132014,48,740.6,9,8,17,104,8.65,38,35,88.88,2.0,0.0,2.0,12.0,R,23.4,182.0,0
David Jones,20142015,67,959.77,14,16,30,114,12.28,15,16,70.34,2.0,0.0,2.0,7.0,R,23.4,182.0,0
David Jones,20152016,75,931.64,11,7,18,84,13.1,17,17,38.73,1.0,0.0,1.0,2.0,R,23.4,182.0,0
David Krejci,20132014,80,1526.98,19,50,69,169,11.24,618,590,207.36,3.0,16.0,19.0,27.0,C,14.8,147.4,99%
David Krejci,20142015,47,853.45,7,24,31,70,10.0,316,278,108.5,1.0,7.0,8.0,13.0,C,14.8,147.4,99%
David Krejci,20152016,72,1452.05,17,46,63,143,11.89,560,557,224.56,4.0,13.0,17.0,45.0,C,14.8,147.4,99%
David Legwand,20132014,83,1409.23,14,37,51,146,9.59,585,571,231.31,6.0,13.0,19.0,31.0,C,23.4,182.0,0
David Legwand,20142015,80,1111.22,9,18,27,91,9.89,451,517,188.55,6.0,6.0,12.0,21.0,C,23.4,182.0,0
David Legwand,20152016,79,764.63,5,9,14,61,8.2,196,231,5.57,0.0,1.0,1.0,0.0,C,23.4,182.0,0
David Moss,20132014,79,1155.05,8,14,22,151,5.3,21,30,49.68,0.0,2.0,2.0,2.0,R,23.4,182.0,0
David Moss,20142015,60,773.65,4,8,12,96,4.17,6,7,26.87,1.0,1.0,2.0,6.0,R,23.4,182.0,0
David Musil,20142015,4,78.84,0,2,2,3,0.0,0,0,0.36,0.0,0.0,0.0,0.0,D,23.4,182.0,0
David Pastrnak,20142015,46,643.14,10,17,27,93,10.75,5,12,82.76,2.0,1.0,3.0,10.0,R,17.5,173.3,93%
David Pastrnak,20152016,51,709.89,15,11,26,108,13.89,0,3,29.21,0.0,1.0,1.0,4.0,R,17.5,173.3,93%
David Perron,20132014,78,1486.05,28,29,57,220,12.73,13,26,218.46,8.0,5.0,13.0,37.0,"L,R",14.6,163.5,4%
David Perron,20142015,81,1400.7,17,24,41,196,8.67,3,9,225.17000000000002,3.0,6.0,9.0,39.0,"L,R",14.6,163.5,4%
David Perron,20152016,71,1078.3,12,24,36,147,8.16,2,8,154.26000000000002,4.0,8.0,12.0,22.0,"L,R",14.6,163.5,4%
David Rundblad,20132014,17,233.78,0,1,1,21,0.0,0,0,23.22,0.0,1.0,1.0,3.0,D,23.4,182.0,0
David Rundblad,20142015,49,623.85,3,11,14,58,5.17,0,0,27.43,0.0,1.0,1.0,2.0,D,23.4,182.0,0
David Rundblad,20152016,9,129.36,0,2,2,13,0.0,0,0,20.53,0.0,2.0,2.0,3.0,D,23.4,182.0,0
David Savard,20132014,70,1248.15,5,10,15,63,7.94,1,0,53.96,1.0,3.0,4.0,5.0,D,23.4,182.0,0
David Savard,20142015,82,1873.41,11,24,35,112,9.82,1,0,172.64,3.0,7.0,10.0,17.0,D,23.4,182.0,0
David Savard,20152016,65,1488.84,4,21,25,122,3.28,0,0,143.16,1.0,4.0,5.0,28.0,D,23.4,182.0,0
David Schlemko,20132014,48,786.17,1,8,9,61,1.64,0,0,58.519999999999996,0.0,3.0,3.0,7.0,D,23.4,182.0,0
David Schlemko,20142015,44,674.14,1,3,4,45,2.22,0,0,24.19,0.0,2.0,2.0,4.0,D,23.4,182.0,0
David Schlemko,20152016,67,1244.64,6,13,19,104,5.77,0,0,140.17,1.0,11.0,12.0,20.0,D,23.4,182.0,0
David Steckel,20132014,6,64.99,0,0,0,8,0.0,44,24,1.42,0.0,0.0,0.0,0.0,C,23.4,182.0,0
David Warsofsky,20132014,6,96.47,1,1,2,10,10.0,0,0,14.58,0.0,0.0,0.0,1.0,D,23.4,182.0,0
David Warsofsky,20142015,4,71.07,0,1,1,7,0.0,0,0,8.71,0.0,0.0,0.0,2.0,D,23.4,182.0,0
David Warsofsky,20152016,22,375.24,1,1,2,40,2.5,0,0,46.91,1.0,1.0,2.0,5.0,D,23.4,182.0,0
Dean Kukan,20152016,8,137.36,0,0,0,3,0.0,0,0,3.98,0.0,0.0,0.0,1.0,D,23.4,182.0,0
Denis Grebeshkov,20132014,7,96.0,0,1,1,3,0.0,0,0,6.91,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Dennis Everberg,20142015,55,647.98,3,9,12,62,4.84,0,3,18.15,0.0,0.0,0.0,2.0,R,23.4,182.0,0
Dennis Everberg,20152016,15,134.2,0,0,0,9,0.0,0,0,2.46,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Dennis Rasmussen,20152016,44,403.29,4,5,9,42,9.52,144,163,3.2,0.0,0.0,0.0,0.0,C,23.4,182.0,0
Dennis Seidenberg,20132014,34,740.72,1,9,10,53,1.89,0,0,23.75,0.0,0.0,0.0,3.0,D,23.4,182.0,0
Dennis Seidenberg,20142015,82,1806.37,3,11,14,103,2.91,0,0,38.13,0.0,0.0,0.0,2.0,D,23.4,182.0,0
Dennis Seidenberg,20152016,61,1179.25,1,11,12,66,1.52,0,0,13.65,0.0,1.0,1.0,0.0,D,23.4,182.0,0
Dennis Wideman,20132014,46,1039.88,4,17,21,102,3.92,0,0,143.15,2.0,2.0,4.0,33.0,D,14.8,168.0,2%
Dennis Wideman,20142015,80,1962.94,15,41,56,173,8.67,0,0,250.86999999999998,6.0,15.0,21.0,67.0,D,14.8,168.0,2%
Dennis Wideman,20152016,51,1046.12,2,17,19,75,2.67,0,0,151.92999999999998,2.0,6.0,8.0,28.0,D,14.8,168.0,2%
Derek Dorsett,20132014,51,561.66,4,4,8,67,5.97,0,3,14.79,0.0,0.0,0.0,1.0,R,23.4,182.0,0
Derek Dorsett,20142015,79,949.77,7,18,25,89,7.87,7,9,38.61,0.0,0.0,0.0,1.0,R,23.4,182.0,0
Derek Dorsett,20152016,71,893.48,5,11,16,91,5.49,3,7,21.61,0.0,0.0,0.0,3.0,R,23.4,182.0,0
Derek Forbort,20152016,14,154.95,1,1,2,14,7.14,0,0,0.3,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Derek Grant,20132014,20,191.31,0,2,2,31,0.0,79,71,0.53,0.0,0.0,0.0,1.0,C,23.4,182.0,0
Derek Grant,20152016,15,163.23,0,1,1,22,0.0,61,50,4.79,0.0,0.0,0.0,1.0,C,23.4,182.0,0
Derek Mackenzie,20132014,71,799.22,9,9,18,70,12.86,256,240,15.03,0.0,0.0,0.0,0.0,C,23.4,182.0,0
Derek Mackenzie,20142015,82,1020.83,5,6,11,72,6.94,543,479,24.28,1.0,0.0,1.0,3.0,C,23.4,182.0,0
Derek Mackenzie,20152016,64,841.51,6,7,13,79,7.59,439,362,24.96,0.0,0.0,0.0,2.0,C,23.4,182.0,0
Derek Morris,20132014,63,1223.21,5,12,17,82,6.1,0,0,41.3,0.0,1.0,1.0,7.0,D,23.4,182.0,0
Derek Roy,20132014,75,1021.46,9,28,37,114,7.89,219,247,171.87,4.0,10.0,14.0,25.0,C,23.4,182.0,0
Derek Roy,20142015,72,1127.45,12,20,32,113,10.62,407,502,127.15,4.0,3.0,7.0,16.0,C,23.4,182.0,0
Derek Ryan,20152016,6,73.24,2,0,2,5,40.0,35,24,5.81,1.0,0.0,1.0,1.0,C,23.4,182.0,0
Derek Smith,20132014,14,133.39,0,1,1,12,0.0,2,1,0.28,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Derek Stepan,20132014,82,1477.41,17,40,57,198,8.59,681,829,225.35000000000002,4.0,13.0,17.0,38.0,C,15.3,169.8,17%
Derek Stepan,20142015,68,1234.36,16,39,55,155,10.32,543,689,181.02,3.0,7.0,10.0,23.0,C,15.3,169.8,17%
Derek Stepan,20152016,72,1276.33,22,31,53,192,11.46,515,588,173.51,5.0,9.0,14.0,33.0,C,15.3,169.8,17%
Derick Brassard,20132014,81,1278.46,18,27,45,159,11.32,468,508,209.66,7.0,11.0,18.0,35.0,C,15.8,161.7,68%
Derick Brassard,20142015,80,1388.13,19,41,60,168,11.31,671,705,220.75,5.0,12.0,17.0,41.0,C,15.8,161.7,68%
Derick Brassard,20152016,80,1428.73,27,31,58,182,14.84,676,670,211.95000000000002,8.0,11.0,19.0,42.0,C,15.8,161.7,68%
Derrick Pouliot,20142015,34,592.87,2,5,7,56,3.57,0,0,88.38,1.0,3.0,4.0,16.0,D,23.4,182.0,0
Derrick Pouliot,20152016,22,338.6,0,7,7,25,0.0,0,0,22.19,0.0,0.0,0.0,3.0,D,23.4,182.0,0
Deryk Engelland,20132014,56,728.06,6,6,12,59,10.17,0,0,10.8,0.0,1.0,1.0,2.0,D,23.4,182.0,0
Deryk Engelland,20142015,76,1092.03,2,9,11,51,3.92,0,0,3.21,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Deryk Engelland,20152016,69,1049.4,3,9,12,71,4.23,0,0,11.18,0.0,0.0,0.0,1.0,D,23.4,182.0,0
Devante Smith-Pelly,20132014,19,240.0,2,8,10,23,8.7,0,4,15.78,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Devante Smith-Pelly,20142015,74,1052.91,6,14,20,104,5.77,23,60,71.75999999999999,0.0,1.0,1.0,6.0,R,23.4,182.0,0
Devante Smith-Pelly,20152016,64,783.47,14,11,25,94,14.89,2,3,56.529999999999994,0.0,1.0,1.0,6.0,R,23.4,182.0,0
Devin Setoguchi,20132014,75,1126.91,11,16,27,129,8.53,5,15,139.86,2.0,1.0,3.0,15.0,R,23.4,182.0,0
Devin Setoguchi,20142015,12,145.77,0,0,0,12,0.0,1,1,17.63,0.0,0.0,0.0,4.0,R,23.4,182.0,0
Dion Phaneuf,20132014,80,1860.09,8,23,31,145,5.52,0,1,255.72,2.0,8.0,10.0,29.0,D,15.7,154.6,93%
Dion Phaneuf,20142015,70,1648.78,3,26,29,138,2.17,0,0,242.42,1.0,13.0,14.0,43.0,D,15.7,154.6,93%
Dion Phaneuf,20152016,71,1583.65,4,28,32,144,2.78,0,0,201.1,0.0,9.0,9.0,24.0,D,15.7,154.6,93%
Dmitrij Jaskin,20132014,18,191.26,1,1,2,18,5.56,1,1,11.33,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Dmitrij Jaskin,20142015,54,726.69,13,5,18,108,12.04,3,4,60.82,3.0,0.0,3.0,17.0,R,23.4,182.0,0
Dmitrij Jaskin,20152016,65,769.61,4,9,13,92,4.35,8,20,23.47,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Dmitry Kulikov,20132014,81,1754.23,8,11,19,127,6.3,0,0,206.72,2.0,3.0,5.0,32.0,D,23.4,182.0,0
Dmitry Kulikov,20142015,73,1552.43,3,19,22,83,3.61,0,0,121.25999999999999,1.0,5.0,6.0,15.0,D,23.4,182.0,0
Dmitry Kulikov,20152016,74,1552.5,1,16,17,99,1.01,0,0,115.01,0.0,5.0,5.0,12.0,D,23.4,182.0,0
Dmitry Orlov,20132014,54,1055.58,3,8,11,59,5.08,0,0,23.41,0.0,1.0,1.0,2.0,D,14.5,161.6,4%
Dmitry Orlov,20152016,82,1311.53,8,21,29,90,8.89,0,0,54.339999999999996,0.0,1.0,1.0,4.0,D,14.5,161.6,4%
Dominic Moore,20132014,73,853.82,6,12,18,96,6.25,354,294,15.16,0.0,0.0,0.0,1.0,C,7.9,88.9,7%
Dominic Moore,20142015,82,1131.45,10,17,27,116,8.62,585,489,11.59,0.0,1.0,1.0,0.0,C,7.9,88.9,7%
Dominic Moore,20152016,80,1062.44,6,9,15,94,6.38,476,385,15.84,0.0,0.0,0.0,0.0,C,7.9,88.9,7%
Dougie Hamilton,20132014,64,1216.28,7,18,25,114,6.14,0,0,124.49,2.0,4.0,6.0,24.0,D,11.0,106.8,100%
Dougie Hamilton,20142015,72,1531.82,10,32,42,188,5.32,0,0,181.36,5.0,9.0,14.0,49.0,D,11.0,106.8,100%
Dougie Hamilton,20152016,82,1614.15,12,31,43,190,6.32,0,0,201.54,5.0,10.0,15.0,50.0,D,11.0,106.8,100%
Douglas Murray,20132014,53,757.95,0,2,2,26,0.0,0,0,0.71,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Drayson Bowman,20132014,70,724.37,4,8,12,80,5.0,6,4,32.940000000000005,0.0,0.0,0.0,0.0,L,23.4,182.0,0
Drew Doughty,20132014,78,1989.32,10,27,37,177,5.65,0,0,302.11,6.0,6.0,12.0,58.0,D,4.8,43.6,100%
Drew Doughty,20142015,82,2359.94,7,39,46,219,3.2,0,1,279.17,1.0,16.0,17.0,58.0,D,4.8,43.6,100%
Drew Doughty,20152016,82,2281.72,14,37,51,197,7.11,0,0,257.76,9.0,14.0,23.0,55.0,D,4.8,43.6,100%
Drew Miller,20132014,82,1156.77,7,8,15,117,5.98,9,14,26.14,0.0,0.0,0.0,0.0,L,23.4,182.0,0
Drew Miller,20142015,82,1098.48,5,8,13,98,5.1,6,13,32.19,0.0,0.0,0.0,0.0,L,23.4,182.0,0
Drew Miller,20152016,28,361.25,1,1,2,27,3.7,1,1,5.94,0.0,0.0,0.0,0.0,L,23.4,182.0,0
Drew Shore,20132014,24,287.65,5,2,7,23,21.74,86,122,21.25,1.0,0.0,1.0,2.0,C,23.4,182.0,0
Drew Shore,20142015,11,117.54,1,2,3,13,7.69,29,30,3.87,0.0,0.0,0.0,0.0,C,23.4,182.0,0
Drew Stafford,20132014,70,1301.88,16,18,34,185,8.65,106,91,163.06,2.0,5.0,7.0,30.0,R,23.4,182.0,0
Drew Stafford,20142015,76,1249.46,18,25,43,147,12.24,86,88,183.3,4.0,5.0,9.0,35.0,R,23.4,182.0,0
Drew Stafford,20152016,78,1390.01,21,17,38,187,11.23,51,50,176.54,6.0,3.0,9.0,26.0,R,23.4,182.0,0
Duncan Keith,20132014,79,1935.76,6,55,61,198,3.03,0,0,251.7,3.0,18.0,21.0,47.0,D,6.7,61.6,100%
Duncan Keith,20142015,80,2031.76,10,35,45,171,5.85,0,0,257.44,3.0,11.0,14.0,46.0,D,6.7,61.6,100%
Duncan Keith,20152016,67,1678.83,9,34,43,130,6.92,0,1,190.33,4.0,11.0,15.0,23.0,D,6.7,61.6,100%
Dustin Brown,20132014,79,1249.3,15,12,27,195,7.69,6,13,179.7,1.0,3.0,4.0,27.0,"L,R",13.9,159.0,6%
Dustin Brown,20142015,82,1353.26,11,16,27,189,5.82,15,20,132.92,1.0,5.0,6.0,17.0,"L,R",13.9,159.0,6%
Dustin Brown,20152016,82,1325.9,11,17,28,218,5.05,8,9,96.47,2.0,1.0,3.0,11.0,"L,R",13.9,159.0,6%
Dustin Byfuglien,20132014,78,1792.7,20,36,56,256,7.81,0,2,265.22,8.0,18.0,26.0,74.0,D,4.3,37.2,100%
Dustin Byfuglien,20142015,69,1552.89,18,27,45,209,8.61,0,3,245.56,5.0,12.0,17.0,60.0,D,4.3,37.2,100%
Dustin Byfuglien,20152016,81,2026.99,19,34,53,247,7.69,0,0,272.91,3.0,14.0,17.0,62.0,D,4.3,37.2,100%
Dustin Jeffrey,20132014,34,328.33,2,2,4,30,6.67,55,60,16.09,0.0,0.0,0.0,5.0,C,23.4,182.0,0
Dustin Jeffrey,20152016,7,79.84,1,1,2,5,20.0,35,23,8.78,0.0,0.0,0.0,1.0,C,23.4,182.0,0
Dustin Penner,20132014,67,968.42,14,21,35,119,11.76,15,32,131.71,5.0,6.0,11.0,20.0,R,23.4,182.0,0
Dwight King,20132014,77,1156.59,15,15,30,111,13.51,2,3,53.07,0.0,1.0,1.0,4.0,L,23.4,182.0,0
