name,positions,avg_pick,avg_round,pct_drafted
Chris Kreider,L,141.0,14.1,100
Justin Falk,D,141.7,12.1,6
Tyler Toffoli,CR,142.2,13.9,100
Mats Zuccarello,R,142.7,14.2,100
Brandon Dubinsky,C,142.8,12.3,2
Nathan MacKinnon,C,143.2,14.0,100
Sam Gagner,CR,144.0,12.4,4
Brock Nelson,CL,144.0,12.5,2
Nino Niederreiter,LR,144.1,14.3,100
Radim Vrbata,R,144.3,17.3,3
Jake Muzzin,D,144.5,14.2,100
Chad Johnson,G,144.5,12.5,2
Kyle Turris,C,144.8,14.2,100
Matt Dumba,D,145.2,14.3,100
Nazem Kadri,C,145.3,14.3,98
Ryan O'Reilly,C,145.9,14.4,97
Alex Galchenyuk,CL,146.3,14.2,100
Anders Lee,L,147.6,14.3,100
Olli Maatta,D,147.6,12.6,3
Milan Lucic,L,147.7,14.5,100
Victor Rask,C,148.0,13.0,2
Shea Theodore,D,148.1,14.5,100
Bo Horvat,C,150.1,13.0,16
Jakob Silfverberg,R,150.8,14.8,100
Nick Foligno,LR,151.3,14.9,100
Jimmy Howard,G,151.8,13.1,17
Hampus Lindholm,D,152.8,13.3,4
Jonathan Bernier,G,153.4,13.3,6
Josh Morrissey,D,153.7,13.3,2
Mark Streit,D,154.8,13.8,19
Jacob Markstrom,G,155.7,13.3,2
Jaccob Slavin,D,155.8,15.3,98
Nico Hischier,C,156.0,13.7,28
Dylan Larkin,CR,156.8,14.1,23
Nolan Patrick,C,156.8,13.4,12
Charlie McAvoy,D,156.8,14.0,40
Mika Zibanejad,C,157.1,14.4,16
Robby Fabbri,CL,157.1,13.5,4
Marcus Johansson,L,157.6,15.4,100
Dmitry Orlov,D,157.8,15.5,96
Zdeno Chara,D,157.9,13.7,23
Tomas Tatar,LR,158.1,17.2,7
Matt Duchene,CR,158.2,15.5,99
Henrik Zetterberg,CL,159.0,15.5,83
Mike Green,D,159.0,13.6,11
Alec Martinez,D,159.1,16.5,27
Artem Anisimov,C,159.4,16.5,6
David Krejci,C,159.6,15.4,5
Patrick Marleau,CL,160.0,16.0,78
Nick Leddy,D,160.1,15.8,95
Patrick Sharp,LR,160.3,15.7,8
Jason Demers,D,160.5,13.8,2
Rick Nash,LR,160.6,15.8,100
Joe Thornton,C,161.3,14.2,41
Michael Hutchinson,G,161.3,14.0,2
Ondrej Palat,L,161.6,15.9,99
