"","Player","Season","Season.Type","Position","Team","GP","TOI","G","A1","A2","A","P","P1","G60","A160","A260","A60","P60","P160","iCF","iCF60","iCSh%","iFF","iFF60","iFSh%","iSF","iSF60","iSh%","ixG","ixG60","ixFSh%","iSCF","iSCF60","iHF","iHA","iGVA","iTKA","iBLK","iFOW","iFOL","iFO%","iPENT","iPEND","iPENDIFF","iRB","iRS","Avg.DIST"
"603","CURTIS.MCKENZIE","20152016","Regular","L","DAL",3,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"604","DAINIUS.ZUBRUS","20132014","Regular","C","N.J",82,197.71,0,0,0,0,0,0,0,0,0,0,0,0,8,2.43,0,7,2.12,0,7,2.12,0,0.45,0.14,6.5,1,0.3,7,2,4,1,10,45,39,53.57,0,0,0,0,2,31.38
"605","DAINIUS.ZUBRUS","20142015","Regular","C","N.J",74,108.74,0,1,0,1,1,1,0,0.55,0,0.55,0.55,0.55,8,4.41,0,7,3.86,0,6,3.31,0,0.63,0.35,9.03,2,1.1,2,4,1,2,15,8,4,66.67,1,0,-1,1,0,23.73
"606","DAINIUS.ZUBRUS","20152016","Regular","C","S.J",50,53.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,2,0,2,1,3,0,1,0,1,0,-1,0,0,NA
"607","DALE.WEISE","20132014","Regular","R","MTL/VAN",61,10.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,1,0,0,1,1,0,0,NA,0,0,0,0,0,NA
"608","DALE.WEISE","20142015","Regular","R","MTL",79,55.63,0,0,0,0,0,0,0,0,0,0,0,0,1,1.08,0,1,1.08,0,1,1.08,0,0.06,0.06,5.61,0,0,4,2,0,0,7,0,0,NA,0,0,0,0,0,16.12
"609","DALE.WEISE","20152016","Regular","R","CHI/MTL",71,19.3,0,0,0,0,0,0,0,0,0,0,0,0,2,6.22,0,2,6.22,0,2,6.22,0,0.18,0.54,8.76,1,3.11,0,0,0,1,2,1,1,50,0,1,1,0,0,9.45
"610","DALTON.PROUT","20132014","Regular","D","CBJ",49,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0.68,0,1,0.68,0,1,0.68,0,0.02,0.02,2.35,0,0,8,1,1,1,8,0,0,NA,0,0,0,0,0,47.01
"611","DALTON.PROUT","20142015","Regular","D","CBJ",63,156.46,0,0,0,0,0,0,0,0,0,0,0,0,1,0.38,0,1,0.38,0,1,0.38,0,0.01,0,0.65,0,0,22,4,1,1,16,0,0,NA,2,2,0,0,0,80.31
"612","DALTON.PROUT","20152016","Regular","D","CBJ",64,89.45,0,0,0,0,0,0,0,0,0,0,0,0,1,0.67,0,1,0.67,0,1,0.67,0,0.05,0.04,5.35,0,0,20,1,2,1,10,0,0,NA,0,0,0,0,0,14.87
