"","Player","Season","Season.Type","Position","Team","GP","TOI","G","A1","A2","A","P","P1","G60","A160","A260","A60","P60","P160","iCF","iCF60","iCSh%","iFF","iFF60","iFSh%","iSF","iSF60","iSh%","ixG","ixG60","ixFSh%","iSCF","iSCF60","iHF","iHA","iGVA","iTKA","iBLK","iFOW","iFOL","iFO%","iPENT","iPEND","iPENDIFF","iRB","iRS","Avg.DIST"
"1","AARON.EKBLAD","20142015","Regular","D","FLA",81,4.29,0,0,1,1,1,0,0,0,13.99,13.99,13.99,0,3,41.96,0,2,27.97,0,1,13.99,0,0.1,1.43,5.11,0,0,1,0,0,1,0,0,0,NA,0,0,0,0,0,27.52
"2","AARON.EKBLAD","20152016","Regular","D","FLA",78,4.92,0,0,0,0,0,0,0,0,0,0,0,0,2,24.39,0,2,24.39,0,1,12.2,0,0.18,2.17,8.91,1,12.2,1,0,0,0,0,0,0,NA,0,0,0,0,0,38.05
"3","ADAM.CLENDENING","20142015","Regular","D","VAN",21,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"4","ADAM.HENRIQUE","20132014","Regular","C","N.J",77,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,NA
"5","ADAM.HENRIQUE","20142015","Regular","C","N.J",75,1.36,0,0,0,0,0,0,0,0,0,0,0,0,1,44.12,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2,1,NA,0,0,0,0,0,NA
"6","ADAM.HENRIQUE","20152016","Regular","C","N.J",80,12.77,0,0,0,0,0,0,0,0,0,0,0,0,3,14.1,0,3,14.1,0,3,14.1,0,0.25,1.18,8.38,1,4.7,0,0,1,0,0,4,5,44.44,0,0,0,0,0,15.67
"7","ADAM.LOWRY","20142015","Regular","L","WPG",80,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"8","ADAM.PARDY","20142015","Regular","D","WPG",55,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,NA,1,0,-1,0,0,NA
"9","ADAM.PARDY","20152016","Regular","D","WPG",23,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,NA,1,0,-1,0,0,NA
"10","ALEC.MARTINEZ","20142015","Regular","D","L.A",56,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1,113.21,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"11","ALEKSANDER.BARKOV","20132014","Regular","C","FLA",54,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,4,0,100,0,0,0,0,0,NA
"12","ALEKSANDER.BARKOV","20142015","Regular","C","FLA",71,3.31,1,0,0,0,1,1,18.13,0,0,0,18.13,18.13,1,18.13,100,1,18.13,100,1,18.13,100,0.08,1.49,8.19,0,0,0,0,0,0,0,1,3,25,0,0,0,0,0,18.68
"13","ALEKSANDER.BARKOV","20152016","Regular","C","FLA",66,3.98,1,1,0,1,2,2,15.08,15.08,0,15.08,30.15,30.15,6,90.45,16.67,6,90.45,16.67,6,90.45,16.67,1.32,19.9,22,6,90.45,0,0,0,0,0,4,2,66.67,0,0,0,0,0,14.21
"14","ALES.HEMSKY","20132014","Regular","R","EDM",75,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,NA
"15","ALES.HEMSKY","20142015","Regular","R","DAL",76,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"16","ALES.HEMSKY","20152016","Regular","R","DAL",75,0.08,0,1,0,1,1,1,0,750,0,750,750,750,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"17","ALEX.BURROWS","20132014","Regular","L","VAN",49,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,1,0,-1,0,0,NA
"18","ALEX.BURROWS","20142015","Regular","L","VAN",70,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,2,0,-2,0,0,NA
"19","ALEX.BURROWS","20152016","Regular","L","VAN",79,4.23,0,0,0,0,0,0,0,0,0,0,0,0,1,14.18,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,1,0,-1,0,0,NA
"20","ALEX.CHIASSON","20132014","Regular","R","DAL",79,8.56,0,0,0,0,0,0,0,0,0,0,0,0,4,28.04,0,4,28.04,0,3,21.03,0,0.72,5.02,17.91,4,28.04,0,0,0,0,0,1,2,33.33,0,0,0,1,0,13.04
"21","ALEX.CHIASSON","20142015","Regular","R","OTT",76,3,0,1,0,1,1,1,0,20,0,20,20,20,3,60,0,3,60,0,3,60,0,0.42,8.35,13.92,1,20,0,0,0,0,0,0,0,NA,1,0,-1,2,1,5.68
"22","ALEX.CHIASSON","20152016","Regular","R","OTT",77,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,NA,1,0,-1,0,0,NA
"23","ALEX.EDLER","20132014","Regular","D","VAN",63,2.02,0,0,0,0,0,0,0,0,0,0,0,0,2,59.41,0,2,59.41,0,2,59.41,0,0.2,5.96,10.04,1,29.7,0,0,0,1,0,0,0,NA,0,0,0,0,0,36.78
"24","ALEX.EDLER","20142015","Regular","D","VAN",74,1.95,0,2,0,2,2,2,0,61.54,0,61.54,61.54,61.54,3,92.31,0,1,30.77,0,0,0,NA,0.11,3.51,11.41,1,30.77,0,0,0,0,0,0,0,NA,0,0,0,1,0,48.76
"25","ALEX.EDLER","20152016","Regular","D","VAN",52,5.7,1,0,1,1,2,1,10.53,0,10.53,10.53,21.05,10.53,4,42.11,25,3,31.58,33.33,3,31.58,33.33,0.15,1.6,5.06,1,10.53,0,0,0,0,0,0,0,NA,0,0,0,0,0,39.57
"26","ALEXEI.EMELIN","20152016","Regular","D","MTL",72,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,NA,1,0,-1,0,0,NA
"27","ALEX.GALCHENYUK","20132014","Regular","C","MTL",65,1.52,1,1,1,2,3,2,39.47,39.47,39.47,78.95,118.42,78.95,3,118.42,33.33,2,78.95,50,1,39.47,100,0.5,19.61,24.84,1,39.47,0,0,0,0,0,0,0,NA,0,0,0,1,0,24.71
"28","ALEX.GALCHENYUK","20142015","Regular","C","MTL",80,2.85,0,0,1,1,1,0,0,0,21.05,21.05,21.05,0,1,21.05,0,1,21.05,0,0,0,NA,0.3,6.41,30.44,1,21.05,0,0,0,0,0,0,1,0,1,0,-1,1,0,10.63
"29","ALEX.GALCHENYUK","20152016","Regular","C","MTL",82,3.73,0,0,0,0,0,0,0,0,0,0,0,0,1,16.09,0,1,16.09,0,1,16.09,0,0.14,2.27,14.12,1,16.09,0,0,0,0,0,3,0,100,0,0,0,0,0,14.76
"30","ALEX.GOLIGOSKI","20132014","Regular","D","DAL",81,9.49,0,0,0,0,0,0,0,0,0,0,0,0,3,18.97,0,1,6.32,0,1,6.32,0,0.06,0.35,5.55,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,54
"31","ALEX.GOLIGOSKI","20142015","Regular","D","DAL",81,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"32","ALEX.GOLIGOSKI","20152016","Regular","D","DAL",82,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"33","ALEX.KILLORN","20132014","Regular","C","T.B",82,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"34","ALEX.KILLORN","20142015","Regular","C","T.B",71,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,1,0,-1,0,0,NA
"35","ALEX.KILLORN","20152016","Regular","C","T.B",81,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
"36","ALEX.OVECHKIN","20132014","Regular","L","WSH",78,6.83,1,0,0,0,1,1,8.78,0,0,0,8.78,8.78,12,105.42,8.33,6,52.71,16.67,3,26.35,33.33,0.49,4.33,8.21,3,26.35,0,0,0,0,0,0,0,NA,0,0,0,0,0,33.78
