"","Player","Season","Season.Type","Position","Team","GP","TOI","G","A1","A2","A","P","P1","G60","A160","A260","A60","P60","P160","iCF","iCF60","iCSh%","iFF","iFF60","iFSh%","iSF","iSF60","iSh%","ixG","ixG60","ixFSh%","iSCF","iSCF60","iHF","iHA","iGVA","iTKA","iBLK","iFOW","iFOL","iFO%","iPENT","iPEND","iPENDIFF","iRB","iRS","Avg.DIST"
"1","AARON.EKBLAD","20142015","Regular","D","FLA",81,225.46,6,1,5,6,12,7,1.6,0.27,1.33,1.6,3.19,1.86,78,20.76,7.69,54,14.37,11.11,37,9.85,16.22,3.23,0.86,5.98,5,1.33,4,6,2,2,2,0,0,NA,2,0,-2,3,2,43.19
"2","AARON.EKBLAD","20152016","Regular","D","FLA",78,220.95,2,2,3,5,7,4,0.54,0.54,0.81,1.36,1.9,1.09,73,19.82,2.74,48,13.03,4.17,34,9.23,5.88,3.02,0.82,6.3,9,2.44,4,9,3,1,1,0,0,NA,2,0,-2,0,1,43.89
"3","AARON.NESS","20132014","Regular","D","NYI",20,6.93,0,0,0,0,0,0,0,0,0,0,0,0,1,8.66,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"4","AARON.NESS","20152016","Regular","D","WSH",8,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"5","AARON.PALUSHAJ","20132014","Regular","R","CAR",2,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"6","AARON.ROME","20132014","Regular","D","DAL",25,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,1,0,-1,0,0,NA
"7","AARON.VOLPATTI","20132014","Regular","L","WSH",41,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,3,0,-3,0,0,NA
"8","ADAM.ALMQUIST","20132014","Regular","D","DET",2,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"9","ADAM.BURISH","20132014","Regular","R","S.J",15,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"10","ADAM.BURISH","20142015","Regular","R","S.J",20,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
"11","ADAM.CLENDENING","20142015","Regular","D","CHI/VAN",21,45.74,1,1,1,2,3,2,1.31,1.31,1.31,2.62,3.94,2.62,10,13.12,10,5,6.56,20,2,2.62,50,0.31,0.41,6.21,0,0,0,1,1,0,1,0,0,NA,1,0,-1,0,1,37.86
"12","ADAM.CLENDENING","20152016","Regular","D","EDM/PIT",29,25.44,0,0,0,0,0,0,0,0,0,0,0,0,6,14.15,0,3,7.08,0,1,2.36,0,0.16,0.37,5.3,0,0,0,2,1,0,1,0,0,NA,0,0,0,0,0,48.6
"13","ADAM.CRACKNELL","20132014","Regular","R","STL",19,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"14","ADAM.CRACKNELL","20142015","Regular","R","CBJ",17,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,100,0,0,0,0,0,NA
"15","ADAM.CRACKNELL","20152016","Regular","R","EDM/VAN",52,17.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,3,4,42.86,0,0,0,0,0,NA
"16","ADAM.HALL","20132014","Regular","R","PHI",80,12.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2,1,66.67,0,1,1,0,0,NA
"17","ADAM.HENRIQUE","20132014","Regular","C","N.J",77,177.27,7,2,3,5,12,9,2.37,0.68,1.02,1.69,4.06,3.05,34,11.51,20.59,29,9.82,24.14,24,8.12,29.17,3.84,1.3,13.25,16,5.42,2,4,7,2,0,62,77,44.6,1,0,-1,4,0,23.46
"18","ADAM.HENRIQUE","20142015","Regular","C","N.J",75,135.86,5,6,4,10,15,11,2.21,2.65,1.77,4.42,6.62,4.86,26,11.48,19.23,22,9.72,22.73,13,5.74,38.46,3.34,1.48,15.18,16,7.07,2,4,5,0,1,29,20,59.18,1,0,-1,1,0,16.16
"19","ADAM.HENRIQUE","20152016","Regular","C","N.J",80,199.04,5,2,2,4,9,7,1.51,0.6,0.6,1.21,2.71,2.11,31,9.34,16.13,25,7.54,20,19,5.73,26.32,2.6,0.78,10.39,12,3.62,6,8,5,2,0,78,80,49.37,0,2,2,1,0,27.06
"20","ADAM.LARSSON","20132014","Regular","D","N.J",26,19.65,0,0,0,0,0,0,0,0,0,0,0,0,2,6.11,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,NA
"21","ADAM.LARSSON","20142015","Regular","D","N.J",64,33.2,0,0,0,0,0,0,0,0,0,0,0,0,5,9.04,0,4,7.23,0,4,7.23,0,0.15,0.27,3.76,0,0,0,2,1,0,0,0,0,NA,0,0,0,0,0,53.48
"22","ADAM.LARSSON","20152016","Regular","D","N.J",82,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,3,1,-2,0,0,NA
"23","ADAM.LOWRY","20142015","Regular","L","WPG",80,54.96,0,1,2,3,3,1,0,1.09,2.18,3.28,3.28,1.09,8,8.73,0,6,6.55,0,2,2.18,0,0.79,0.86,13.1,4,4.37,2,6,0,0,0,15,11,57.69,3,1,-2,0,0,16.26
"24","ADAM.LOWRY","20152016","Regular","L","WPG",74,27.28,0,0,0,0,0,0,0,0,0,0,0,0,2,4.4,0,2,4.4,0,2,4.4,0,0.23,0.5,11.39,1,2.2,1,0,0,0,0,4,3,57.14,2,0,-2,0,0,15.76
"25","ADAM.MCQUAID","20132014","Regular","D","BOS",30,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,5,0,-5,0,0,NA
"26","ADAM.MCQUAID","20142015","Regular","D","BOS",63,14.99,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,4,0,0,0,NA,0.06,0.24,5.87,0,0,0,0,0,0,0,0,0,NA,2,0,-2,0,0,41.34
"27","ADAM.MCQUAID","20152016","Regular","D","BOS",64,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,2,1,-1,0,0,NA
"28","ADAM.PARDY","20132014","Regular","D","WPG",60,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"29","ADAM.PARDY","20142015","Regular","D","WPG",55,7.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,2,0,-2,0,0,NA
"30","ADAM.PARDY","20152016","Regular","D","EDM/WPG",23,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,1,0,-1,0,0,NA
"31","ADAM.PAYERL","20132014","Regular","C","PIT",2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"32","ADAM.PELECH","20152016","Regular","D","NYI",9,5.52,0,0,0,0,0,0,0,0,0,0,0,0,1,10.87,0,1,10.87,0,1,10.87,0,0.04,0.42,3.89,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,29.83
"33","ALAN.QUINE","20152016","Regular","C","NYI",2,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,2,2,50,0,0,0,0,0,NA
"34","ALEC.MARTINEZ","20132014","Regular","D","L.A",61,125.7,3,2,3,5,8,5,1.43,0.95,1.43,2.39,3.82,2.39,60,28.64,5,38,18.14,7.89,25,11.93,12,3.03,1.45,7.98,12,5.73,5,3,2,2,1,0,0,NA,0,0,0,3,4,39.97
"35","ALEC.MARTINEZ","20142015","Regular","D","L.A",56,116.88,1,3,0,3,4,4,0.51,1.54,0,1.54,2.05,2.05,52,26.69,1.92,32,16.43,3.12,18,9.24,5.56,1.39,0.71,4.33,1,0.51,3,2,1,0,2,0,0,NA,1,0,-1,0,1,45.01
"36","ALEC.MARTINEZ","20152016","Regular","D","L.A",78,161.53,4,6,3,9,13,10,1.49,2.23,1.11,3.34,4.83,3.71,82,30.46,4.88,54,20.06,7.41,38,14.12,10.53,2.59,0.96,4.8,2,0.74,2,1,6,1,6,0,0,NA,2,0,-2,2,0,45.8
"37","ALEKSANDER.BARKOV","20132014","Regular","C","FLA",54,142.49,3,2,1,3,6,5,1.26,0.84,0.42,1.26,2.53,2.11,21,8.84,14.29,14,5.9,21.43,11,4.63,27.27,1.32,0.56,9.43,5,2.11,1,8,4,2,1,65,60,52,0,0,0,1,1,23.36
"38","ALEKSANDER.BARKOV","20142015","Regular","C","FLA",71,156.72,2,1,3,4,6,3,0.77,0.38,1.15,1.53,2.3,1.15,26,9.95,7.69,22,8.42,9.09,17,6.51,11.76,2.17,0.83,9.85,11,4.21,4,17,3,3,0,49,59,45.37,3,0,-3,0,0,20.85
"39","ALEKSANDER.BARKOV","20152016","Regular","C","FLA",66,188.05,7,4,2,6,13,11,2.23,1.28,0.64,1.91,4.15,3.51,48,15.32,14.58,41,13.08,17.07,30,9.57,23.33,5.23,1.67,12.76,23,7.34,1,14,4,3,0,57,63,47.5,0,1,1,5,3,21.32
"40","ALES.HEMSKY","20132014","Regular","R","EDM/OTT",75,177.56,2,4,7,11,13,6,0.68,1.35,2.37,3.72,4.39,2.03,23,7.77,8.7,16,5.41,12.5,11,3.72,18.18,1.46,0.49,9.13,6,2.03,0,9,10,2,0,0,0,NA,3,0,-3,1,0,24.58
"41","ALES.HEMSKY","20142015","Regular","R","DAL",76,155.34,1,4,3,7,8,5,0.39,1.54,1.16,2.7,3.09,1.93,30,11.59,3.33,18,6.95,5.56,12,4.63,8.33,1.53,0.59,8.48,4,1.54,2,12,6,5,1,0,0,NA,3,0,-3,0,0,33.75
"42","ALES.HEMSKY","20152016","Regular","R","DAL",75,130.3,1,0,3,3,4,1,0.46,0,1.38,1.38,1.84,0.46,32,14.74,3.12,24,11.05,4.17,19,8.75,5.26,1.96,0.9,8.18,4,1.84,0,5,10,0,0,1,2,33.33,0,0,0,0,0,28.08
"43","ALEX.BIEGA","20142015","Regular","D","VAN",7,1.92,0,0,0,0,0,0,0,0,0,0,0,0,1,31.25,0,1,31.25,0,1,31.25,0,0.04,1.38,4.42,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,58.14
"44","ALEX.BIEGA","20152016","Regular","D","VAN",51,18.17,0,0,0,0,0,0,0,0,0,0,0,0,2,6.6,0,1,3.3,0,0,0,NA,0.24,0.79,23.92,1,3.3,0,0,0,0,0,0,0,NA,0,0,0,0,0,16.03
"45","ALEX.BURMISTROV","20152016","Regular","C","WPG",81,90.57,0,0,1,1,1,0,0,0,0.66,0.66,0.66,0,9,5.96,0,6,3.97,0,2,1.32,0,0.32,0.21,5.36,1,0.66,4,2,2,1,0,15,21,41.67,1,0,-1,1,0,37.87
"46","ALEX.BURROWS","20132014","Regular","L","VAN",49,114.26,2,2,2,4,6,4,1.05,1.05,1.05,2.1,3.15,2.1,27,14.18,7.41,26,13.65,7.69,18,9.45,11.11,3.38,1.78,13.01,16,8.4,6,9,1,0,1,2,9,18.18,7,1,-6,2,0,16.11
"47","ALEX.BURROWS","20142015","Regular","L","VAN",70,141.5,4,3,1,4,8,7,1.7,1.27,0.42,1.7,3.39,2.97,40,16.96,10,38,16.11,10.53,25,10.6,16,5.48,2.32,14.41,29,12.3,3,7,3,0,0,1,3,25,4,4,0,4,0,14.88
"48","ALEX.BURROWS","20152016","Regular","L","VAN",79,149.25,1,3,1,4,5,4,0.4,1.21,0.4,1.61,2.01,1.61,29,11.66,3.45,27,10.85,3.7,20,8.04,5,2.96,1.19,10.98,14,5.63,6,4,3,0,1,2,0,100,9,3,-6,1,0,22.25
"49","ALEX.CHIASSON","20132014","Regular","R","DAL",79,251.38,6,4,3,7,13,10,1.43,0.95,0.72,1.67,3.1,2.39,81,19.33,7.41,72,17.19,8.33,54,12.89,11.11,11.44,2.73,15.89,54,12.89,4,14,4,3,0,29,31,48.33,2,1,-1,11,2,15.51
"50","ALEX.CHIASSON","20142015","Regular","R","OTT",76,149.24,3,2,0,2,5,5,1.21,0.8,0,0.8,2.01,2.01,31,12.46,9.68,30,12.06,10,21,8.44,14.29,4.61,1.85,15.38,19,7.64,4,11,3,0,0,0,1,0,4,1,-3,4,0,13.83
"51","ALEX.CHIASSON","20152016","Regular","R","OTT",77,89.89,2,0,0,0,2,2,1.33,0,0,0,1.33,1.33,13,8.68,15.38,11,7.34,18.18,10,6.67,20,1.59,1.06,14.47,5,3.34,1,8,2,0,0,0,1,0,4,1,-3,0,0,13.73
"52","ALEX.EDLER","20132014","Regular","D","VAN",63,179.63,4,4,4,8,12,8,1.34,1.34,1.34,2.67,4.01,2.67,96,32.07,4.17,54,18.04,7.41,37,12.36,10.81,3.09,1.03,5.73,8,2.67,2,6,5,1,1,1,1,50,3,0,-3,1,0,46.46
"53","ALEX.EDLER","20142015","Regular","D","VAN",74,216.58,5,2,5,7,12,7,1.39,0.55,1.39,1.94,3.32,1.94,104,28.81,4.81,62,17.18,8.06,42,11.64,11.9,3.14,0.87,5.07,6,1.66,4,8,6,1,4,0,0,NA,4,1,-3,1,1,46.98
"54","ALEX.EDLER","20152016","Regular","D","VAN",52,152.95,1,0,2,2,3,1,0.39,0,0.78,0.78,1.18,0.39,70,27.46,1.43,40,15.69,2.5,24,9.41,4.17,1.96,0.77,4.9,4,1.57,6,2,3,0,3,0,0,NA,2,0,-2,4,0,47.9
"55","ALEXEI.EMELIN","20132014","Regular","D","MTL",59,48.75,1,1,1,2,3,2,1.23,1.23,1.23,2.46,3.69,2.46,11,13.54,9.09,7,8.62,14.29,5,6.15,20,0.25,0.31,3.59,0,0,0,0,0,1,0,0,0,NA,2,0,-2,0,0,52.88
"56","ALEXEI.EMELIN","20142015","Regular","D","MTL",68,17.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"57","ALEXEI.EMELIN","20152016","Regular","D","MTL",72,29.61,0,0,0,0,0,0,0,0,0,0,0,0,4,8.11,0,3,6.08,0,2,4.05,0,0.08,0.17,2.83,0,0,1,0,0,0,1,0,0,NA,1,1,0,0,0,59.9
"58","ALEXEY.MARCHENKO","20132014","Regular","D","DET",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"59","ALEXEY.MARCHENKO","20142015","Regular","D","DET",13,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"60","ALEXEY.MARCHENKO","20152016","Regular","D","DET",66,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"61","ALEX.GALCHENYUK","20132014","Regular","C","MTL",65,137.61,2,4,1,5,7,6,0.87,1.74,0.44,2.18,3.05,2.62,36,15.7,5.56,27,11.77,7.41,22,9.59,9.09,3.83,1.67,14.19,12,5.23,2,5,5,3,0,0,0,NA,1,1,0,6,1,18.41
"62","ALEX.GALCHENYUK","20142015","Regular","C","MTL",80,181.84,3,2,4,6,9,5,0.99,0.66,1.32,1.98,2.97,1.65,57,18.81,5.26,44,14.52,6.82,31,10.23,9.68,5.15,1.7,11.71,22,7.26,0,13,1,0,0,12,12,50,3,1,-2,4,0,18.23
"63","ALEX.GALCHENYUK","20152016","Regular","C","MTL",82,211.01,8,5,2,7,15,13,2.27,1.42,0.57,1.99,4.27,3.7,77,21.89,10.39,60,17.06,13.33,39,11.09,20.51,5.81,1.65,9.68,20,5.69,1,13,4,2,0,39,43,47.56,3,2,-1,7,4,28.74
"64","ALEX.GOLIGOSKI","20132014","Regular","D","DAL",81,265.81,3,6,5,11,14,9,0.68,1.35,1.13,2.48,3.16,2.03,82,18.51,3.66,50,11.29,6,44,9.93,6.82,2.6,0.59,5.19,6,1.35,2,6,16,1,7,0,0,NA,1,1,0,5,0,45.25
"65","ALEX.GOLIGOSKI","20142015","Regular","D","DAL",81,177.37,0,5,3,8,8,5,0,1.69,1.01,2.71,2.71,1.69,37,12.52,0,21,7.1,0,14,4.74,0,1.16,0.39,5.53,2,0.68,1,3,10,3,1,0,0,NA,1,0,-1,1,0,44.18
"66","ALEX.GOLIGOSKI","20152016","Regular","D","DAL",82,168.94,1,2,1,3,4,3,0.36,0.71,0.36,1.07,1.42,1.07,37,13.14,2.7,20,7.1,5,15,5.33,6.67,0.93,0.33,4.63,1,0.36,2,3,4,0,1,0,0,NA,0,0,0,0,0,47.81
"67","ALEX.GRANT","20152016","Regular","D","ARI",5,3.66,0,0,0,0,0,0,0,0,0,0,0,0,1,16.39,0,1,16.39,0,1,16.39,0,0.03,0.52,3.15,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,56.08
"68","ALEX.GRENIER","20152016","Regular","R","VAN",6,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"69","ALEX.KHOKHLACHEV","20132014","Regular","C","BOS",1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,100,0,0,0,0,0,NA
"70","ALEX.KHOKHLACHEV","20142015","Regular","C","BOS",3,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"71","ALEX.KILLORN","20132014","Regular","C","T.B",82,168.04,2,2,3,5,7,4,0.71,0.71,1.07,1.79,2.5,1.43,38,13.57,5.26,30,10.71,6.67,23,8.21,8.7,2.88,1.03,9.61,15,5.36,2,3,6,2,1,16,14,53.33,4,1,-3,0,0,21.59
"72","ALEX.KILLORN","20142015","Regular","C","T.B",71,149.38,1,1,1,2,3,2,0.4,0.4,0.4,0.8,1.2,0.8,30,12.05,3.33,23,9.24,4.35,14,5.62,7.14,2.71,1.09,11.76,10,4.02,3,12,5,1,0,1,1,50,2,1,-1,2,1,20.31
"73","ALEX.KILLORN","20152016","Regular","C","T.B",81,195.24,3,1,2,3,6,4,0.92,0.31,0.61,0.92,1.84,1.23,48,14.75,6.25,45,13.83,6.67,36,11.06,8.33,5.67,1.74,12.6,24,7.38,5,12,11,2,0,6,4,60,6,2,-4,5,0,20.52
"74","ALEX.OVECHKIN","20132014","Regular","L","WSH",78,362.29,22,7,8,15,37,29,3.64,1.16,1.32,2.48,6.13,4.8,242,40.08,9.09,187,30.97,11.76,130,21.53,16.92,13.18,2.18,7.05,39,6.46,13,16,15,4,0,0,0,NA,6,1,-5,4,4,37.76
"75","ALEX.OVECHKIN","20142015","Regular","L","WSH",81,289.49,24,5,1,6,30,29,4.97,1.04,0.21,1.24,6.22,6.01,248,51.4,9.68,193,40,12.44,126,26.11,19.05,14.51,3.01,7.52,44,9.12,6,7,4,3,0,0,0,NA,6,1,-5,9,5,35.49
"76","ALEX.OVECHKIN","20152016","Regular","L","WSH",79,319.66,18,3,1,4,22,21,3.38,0.56,0.19,0.75,4.13,3.94,250,46.92,7.2,195,36.6,9.23,128,24.03,14.06,14.98,2.81,7.68,43,8.07,5,5,12,5,0,0,0,NA,6,0,-6,10,6,35.78
"77","ALEX.PETROVIC","20132014","Regular","D","FLA",7,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"78","ALEX.PETROVIC","20142015","Regular","D","FLA",33,9.05,0,0,0,0,0,0,0,0,0,0,0,0,3,19.89,0,1,6.63,0,1,6.63,0,0.06,0.37,5.54,0,0,0,0,0,0,0,0,0,NA,1,0,-1,0,0,53.04
"79","ALEX.PETROVIC","20152016","Regular","D","FLA",66,16.5,0,0,0,0,0,0,0,0,0,0,0,0,1,3.64,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,NA,5,0,-5,0,0,NA
"80","ALEX.PIETRANGELO","20132014","Regular","D","STL",81,227.55,2,7,7,14,16,9,0.53,1.85,1.85,3.69,4.22,2.37,76,20.04,2.63,46,12.13,4.35,33,8.7,6.06,2.53,0.67,5.5,5,1.32,0,6,2,1,6,0,0,NA,1,0,-1,1,1,45.54
"81","ALEX.PIETRANGELO","20142015","Regular","D","STL",81,208.05,1,6,4,10,11,7,0.29,1.73,1.15,2.88,3.17,2.02,64,18.46,1.56,55,15.86,1.82,41,11.82,2.44,3.5,1.01,6.37,9,2.6,0,6,3,3,2,0,0,NA,0,0,0,2,4,43.47
"82","ALEX.PIETRANGELO","20152016","Regular","D","STL",73,180.02,1,2,2,4,5,3,0.33,0.67,0.67,1.33,1.67,1,39,13,2.56,31,10.33,3.23,24,8,4.17,1.64,0.55,5.31,6,2,0,13,6,4,3,0,0,NA,2,0,-2,0,2,41.5
"83","ALEX.SEMIN","20132014","Regular","L","CAR",65,208.3,4,1,2,3,7,5,1.15,0.29,0.58,0.86,2.02,1.44,96,27.65,4.17,57,16.42,7.02,42,12.1,9.52,4.68,1.35,8.21,15,4.32,1,6,9,2,0,0,1,0,1,2,1,4,5,32
"84","ALEX.SEMIN","20142015","Regular","L","CAR",57,88.24,0,1,3,4,4,1,0,0.68,2.04,2.72,2.72,0.68,22,14.96,0,14,9.52,0,10,6.8,0,1.5,1.02,10.7,4,2.72,2,7,3,0,0,1,0,100,2,1,-1,1,2,29.73
"85","ALEX.SEMIN","20152016","Regular","L","MTL",15,29.95,0,0,0,0,0,0,0,0,0,0,0,0,3,6.01,0,2,4.01,0,1,2,0,0.13,0.26,6.5,0,0,0,0,1,1,0,1,0,100,1,0,-1,0,0,29.01
"86","ALEX.STEEN","20132014","Regular","C","STL",68,223.86,6,5,3,8,14,11,1.61,1.34,0.8,2.14,3.75,2.95,124,33.24,4.84,74,19.83,8.11,54,14.47,11.11,4.03,1.08,5.45,10,2.68,2,6,5,1,1,14,20,41.18,1,0,-1,1,2,46.33
"87","ALEX.STEEN","20142015","Regular","C","STL",74,238.33,6,12,4,16,22,18,1.51,3.02,1.01,4.03,5.54,4.53,120,30.21,5,75,18.88,8,55,13.85,10.91,4.98,1.25,6.64,14,3.52,0,5,7,2,4,4,1,80,1,0,-1,4,2,43.06
"88","ALEX.STEEN","20152016","Regular","C","STL",67,194.65,2,12,6,18,20,14,0.62,3.7,1.85,5.55,6.16,4.32,69,21.27,2.9,49,15.1,4.08,33,10.17,6.06,3.28,1.01,6.68,8,2.47,4,6,3,1,2,2,3,40,4,0,-4,2,1,41.31
"89","ALEX.SULZER","20132014","Regular","D","BUF",25,18.47,0,0,1,1,1,0,0,0,3.25,3.25,3.25,0,4,12.99,0,2,6.5,0,2,6.5,0,0.28,0.91,13.95,1,3.25,0,0,1,0,0,0,0,NA,0,0,0,0,0,31.86
